store_code,month,department,line,amount
CR1,2025-09,new_vehicle,gross,167498.92
CR1,2025-09,used_vehicle,gross,183003.64
CR1,2025-09,wholesale,gross,-8957.57
CR1,2025-09,fi,gross,240953.65
CR1,2025-09,service,gross,156820.51
CR1,2025-09,parts,gross,64885.56
CR1,2025-09,total,expense_personnel,387074.90
CR1,2025-09,total,expense_advertising_net,30645.75
CR1,2025-09,total,expense_rent,61000.00
CR1,2025-09,total,expense_floorplan_interest,34832.42
CR1,2025-09,total,expense_other,126716.59
CR1,2025-10,new_vehicle,gross,164629.24
CR1,2025-10,used_vehicle,gross,193599.48
CR1,2025-10,wholesale,gross,-6438.50
CR1,2025-10,fi,gross,228679.28
CR1,2025-10,service,gross,171259.68
CR1,2025-10,parts,gross,73677.59
CR1,2025-10,total,expense_personnel,368257.27
CR1,2025-10,total,expense_advertising_net,35492.88
CR1,2025-10,total,expense_rent,61000.00
CR1,2025-10,total,expense_floorplan_interest,35264.00
CR1,2025-10,total,expense_other,123139.40
CR1,2025-11,new_vehicle,gross,166067.19
CR1,2025-11,used_vehicle,gross,199429.04
CR1,2025-11,wholesale,gross,-3015.74
CR1,2025-11,fi,gross,250307.09
CR1,2025-11,service,gross,160899.99
CR1,2025-11,parts,gross,66902.36
CR1,2025-11,total,expense_personnel,359745.56
CR1,2025-11,total,expense_advertising_net,37159.79
CR1,2025-11,total,expense_rent,61000.00
CR1,2025-11,total,expense_floorplan_interest,42131.05
CR1,2025-11,total,expense_other,102065.97
CR1,2025-12,new_vehicle,gross,209699.31
CR1,2025-12,used_vehicle,gross,240762.33
CR1,2025-12,wholesale,gross,-9455.48
CR1,2025-12,fi,gross,297530.21
CR1,2025-12,service,gross,173378.71
CR1,2025-12,parts,gross,72671.70
CR1,2025-12,total,expense_personnel,423407.80
CR1,2025-12,total,expense_advertising_net,48230.66
CR1,2025-12,total,expense_rent,61000.00
CR1,2025-12,total,expense_floorplan_interest,49461.59
CR1,2025-12,total,expense_other,122555.32
CR1,2026-01,new_vehicle,gross,164331.95
CR1,2026-01,used_vehicle,gross,221970.14
CR1,2026-01,wholesale,gross,-3814.93
CR1,2026-01,fi,gross,246183.25
CR1,2026-01,service,gross,175020.85
CR1,2026-01,parts,gross,74076.11
CR1,2026-01,total,expense_personnel,396642.73
CR1,2026-01,total,expense_advertising_net,26454.16
CR1,2026-01,total,expense_rent,61000.00
CR1,2026-01,total,expense_floorplan_interest,32660.43
CR1,2026-01,total,expense_other,119861.57
CR1,2026-02,new_vehicle,gross,121147.86
CR1,2026-02,used_vehicle,gross,124828.64
CR1,2026-02,wholesale,gross,-3274.98
CR1,2026-02,fi,gross,166729.59
CR1,2026-02,service,gross,148777.19
CR1,2026-02,parts,gross,62763.90
CR1,2026-02,total,expense_personnel,267803.82
CR1,2026-02,total,expense_advertising_net,37030.99
CR1,2026-02,total,expense_rent,61000.00
CR1,2026-02,total,expense_floorplan_interest,23665.45
CR1,2026-02,total,expense_other,79843.47
CR1,2026-03,new_vehicle,gross,161059.03
CR1,2026-03,used_vehicle,gross,199994.48
CR1,2026-03,wholesale,gross,-4219.77
CR1,2026-03,fi,gross,224468.97
CR1,2026-03,service,gross,155202.80
CR1,2026-03,parts,gross,63251.14
CR1,2026-03,total,expense_personnel,369813.51
CR1,2026-03,total,expense_advertising_net,34080.51
CR1,2026-03,total,expense_rent,61000.00
