snapshot_date,store_code,stock_number,new_used,model_year,make,model,days_in_stock,cost,list_price,price_drops
2025-09-01,CR1,110001,U,2020,Hyundai,Palisade,5,15749.13,17758.59,0
2025-09-01,CR1,110002,U,2021,GMC,Truck,16,17476.79,18629.17,1
2025-09-01,CR1,110003,N,2025,Hyundai,Kona,46,37109.67,35910.04,4
2025-09-01,CR1,110004,N,2026,Hyundai,Santa Fe,16,29063.13,29669.96,3
2025-09-01,CR1,110005,N,2026,Hyundai,Tucson,3,22613.16,23497.83,1
2025-09-01,CR1,110006,N,2026,Hyundai,Sonata,16,28822.28,32272.17,0
2025-09-01,CR1,110007,N,2026,Hyundai,Palisade,39,28742.73,30220.47,1
2025-09-01,CR1,110008,U,2025,Nissan,Sedan,54,25645.55,26439.45,1
2025-09-01,CR1,110009,U,2019,Kia,Sportage,70,21149.50,23562.98,0
2025-09-01,CR1,110010,N,2026,Hyundai,Tucson,54,34268.71,39560.58,0
2025-09-01,CR1,110011,U,2025,GMC,Sedan,12,23327.64,25163.14,1
2025-09-01,CR1,110012,N,2026,Hyundai,Ioniq 5,41,27216.22,28752.01,2
2025-09-01,CR1,110013,N,2026,Hyundai,Sonata,32,46660.00,51321.68,0
2025-09-01,CR1,110014,U,2022,Chevrolet,Traverse,47,15239.35,16433.90,2
2025-09-01,CR1,110015,N,2025,Hyundai,Kona,48,25434.55,28097.48,1
2025-09-01,CR1,110016,N,2025,Hyundai,Kona,40,30604.98,31924.56,1
2025-09-01,CR1,110017,U,2023,GMC,Truck,1,23408.87,24260.20,1
2025-09-01,CR1,110018,N,2026,Hyundai,Tucson,48,23409.20,24921.47,2
2025-09-01,CR1,110019,U,2020,Toyota,Truck,13,26430.54,28827.02,0
2025-09-01,CR1,110020,U,2025,Kia,Telluride,6,13506.87,15414.10,0
2025-09-01,CR1,110021,U,2019,Honda,Sedan,21,20409.35,20231.68,3
2025-09-01,CR1,110022,U,2021,Chevrolet,Trax,6,15626.50,17025.53,0
