deal_number,store_code,deal_date,deal_type,sale_type,status,new_used,stock_number,model_year,make,model,front_gross,fi_gross,doc_fee,gap_attached,gap_gross,vsc_attached,vsc_gross,lender_type,term_months,financed,has_trade,days_in_stock_at_sale,salesperson_id,fi_manager_id
500001,CR1,2025-09-01,L,L,F,N,110025,2026,Hyundai,Tucson,2370.43,1790.19,699.00,0,0.00,1,1113.35,captive,48,1,0,67,1008,1020
500002,CR1,2025-09-01,R,R,F,N,110057,2026,Hyundai,Palisade,4082.67,993.70,799.00,0,0.00,0,0.00,captive,84,1,0,70,1001,1021
500003,CR1,2025-09-01,R,R,F,N,110232,2026,Hyundai,Santa Fe,1647.85,178.57,799.00,0,0.00,0,0.00,outside,75,1,1,69,1003,1020
500004,CR1,2025-09-01,R,R,F,U,110261,2022,Jeep,Sedan,3807.31,1129.15,699.00,0,0.00,0,0.00,outside,48,1,0,35,1005,1021
500005,CR1,2025-09-01,R,R,U,U,110287,2020,Ford,Bronco,-667.16,-28.34,799.00,0,0.00,0,0.00,cash,,0,1,70,1002,1021
500006,CR1,2025-09-01,R,R,F,U,110047,2022,Jeep,Truck,2944.35,1886.87,899.00,0,0.00,1,1237.68,outside,84,1,1,66,1003,1020
500007,CR1,2025-09-01,R,R,F,U,110251,2025,Nissan,Truck,1691.59,1448.80,799.00,0,0.00,1,1448.80,cash,,0,0,55,1007,1021
500008,CR2,2025-09-01,R,R,F,U,210024,2023,Jeep,Sedan,2845.84,69.49,699.00,0,0.00,0,0.00,cash,,0,0,64,1022,1036
500009,CR2,2025-09-01,R,R,F,U,210194,2017,GMC,SUV,4153.39,977.21,799.00,0,0.00,0,0.00,captive,66,1,0,37,1023,1036
500010,CR2,2025-09-01,R,R,F,N,210039,2025,Kia,Sportage,1686.53,2012.55,699.00,0,0.00,1,1458.92,captive,66,1,0,5,1022,1037
500011,CR2,2025-09-01,R,R,F,N,210046,2026,Kia,Sportage,3520.99,1489.12,699.00,1,596.91,0,0.00,outside,75,1,0,37,1027,1036
500012,CR2,2025-09-01,R,R,F,N,210189,2026,Kia,Telluride,953.19,1909.42,699.00,0,0.00,1,1143.26,captive,75,1,0,68,1027,1037
500013,CR2,2025-09-01,L,L,F,N,210038,2026,Kia,Carnival,1181.16,934.85,699.00,0,0.00,0,0.00,captive,48,1,0,42,1022,1037
500014,CR2,2025-09-01,R,W,F,N,210048,2026,Kia,Forte,-123.83,0.00,0.00,0,0.00,0,0.00,none,,0,0,70,1022,1037
