store_code,report_date,ro_count,labor_sales,parts_sales,labor_hours,cp_labor_sales,warranty_labor_sales,internal_labor_sales
CR1,2025-09-01,23,6025.12,5613.07,38.1,5238.15,511.92,275.05
CR1,2025-09-02,34,7964.36,4943.12,53.0,6134.51,927.54,902.31
CR1,2025-09-03,32,7501.30,6900.25,49.8,5455.01,1339.75,706.54
CR1,2025-09-04,38,8645.22,7373.68,59.0,5826.48,1888.25,930.49
CR1,2025-09-05,21,5440.01,4129.73,34.8,4732.62,245.97,461.42
CR1,2025-09-06,28,8632.47,6386.69,57.0,6484.52,1543.70,604.25
CR1,2025-09-07,6,1680.75,1560.15,10.7,1175.45,505.30,0.00
CR1,2025-09-08,30,7287.61,5398.82,48.8,5487.64,1108.80,691.17
CR1,2025-09-09,37,8758.12,7208.19,60.2,5735.97,1895.33,1126.82
CR1,2025-09-10,33,8507.47,6852.41,56.5,6159.06,1647.03,701.38
CR1,2025-09-11,30,7929.61,7101.06,54.7,4868.10,2001.17,1060.34
CR1,2025-09-12,41,9903.39,7719.52,66.7,6984.39,1806.18,1112.82
CR1,2025-09-13,18,4713.77,3977.99,32.4,3502.87,379.34,831.56
CR1,2025-09-14,6,2144.17,1549.95,14.5,1480.64,452.81,210.72
CR1,2025-09-15,26,6227.61,4742.26,40.1,5319.76,509.87,397.98
CR1,2025-09-16,34,8498.57,7864.89,55.5,6614.07,1339.30,545.20
CR1,2025-09-17,42,10334.73,8398.71,68.3,8112.62,1153.83,1068.28
CR1,2025-09-18,30,7053.98,6334.09,45.6,5244.38,1556.29,253.31
CR1,2025-09-19,42,10983.71,8142.15,74.4,6721.16,3255.83,1006.72
CR1,2025-09-20,32,9174.99,7441.42,59.6,7795.53,368.21,1011.25
CR1,2025-09-21,5,1339.11,1514.10,8.6,1004.41,334.70,0.00
CR1,2025-09-22,35,8556.27,6828.42,58.2,5238.93,2659.51,657.83
CR1,2025-09-23,35,8420.04,7243.32,55.8,5870.57,1911.28,638.19
CR1,2025-09-24,38,10215.71,9610.17,69.3,5981.61,3533.97,700.13
CR1,2025-09-25,35,9981.39,8052.97,66.0,7418.71,1512.85,1049.83
CR1,2025-09-26,44,9530.05,8741.30,67.1,6621.67,1149.93,1758.45
CR1,2025-09-27,23,6554.93,5694.91,41.5,5410.96,920.96,223.01
CR1,2025-09-28,3,663.07,583.20,5.6,280.82,0.00,382.25
CR1,2025-09-29,27,7327.56,5936.38,47.7,5124.84,1919.41,283.31
CR1,2025-09-30,31,7811.17,6394.74,54.5,3954.30,3256.06,600.81
CR1,2025-10-01,43,10017.23,8497.83,64.9,7775.85,1379.95,861.43
CR1,2025-10-02,34,9815.11,8829.99,64.8,7670.35,1176.00,968.76
CR1,2025-10-03,36,10155.81,9115.68,66.3,7892.01,1618.49,645.31
CR1,2025-10-04,24,6214.22,4679.95,39.5,4982.34,1107.74,124.14
CR1,2025-10-05,6,1047.40,933.10,7.1,504.55,542.85,0.00
