ro_number,store_code,open_date,close_date,advisor_id,technician_id,pay_type,ro_type,labor_hours,labor_sales,parts_sales
900001,CR1,2025-09-01,2025-09-01,1011,1017,C,internal_recon,2.2,358.40,421.91
900002,CR1,2025-09-01,2025-09-01,1009,1015,C,internal_recon,0.8,126.61,148.34
900003,CR1,2025-09-01,2025-09-01,1012,1016,C,internal_recon,0.4,68.43,51.50
900004,CR1,2025-09-01,2025-09-03,1009,1018,C,internal_recon,2.5,435.72,408.80
900005,CR1,2025-09-01,2025-09-02,1009,1016,I,internal_recon,1.6,153.60,147.98
900006,CR1,2025-09-01,2025-09-01,1010,1015,C,maintenance,3.2,532.15,642.88
900007,CR1,2025-09-01,2025-09-01,1012,1018,C,internal_recon,2.1,349.64,450.65
900008,CR1,2025-09-01,2025-09-01,1010,1018,C,maintenance,0.5,84.02,67.78
900009,CR1,2025-09-01,2025-09-01,1010,1016,W,recall,0.7,99.32,82.29
900010,CR1,2025-09-01,2025-09-01,1012,1018,C,repair,2.1,337.49,259.83
900011,CR1,2025-09-01,2025-09-01,1009,1015,C,repair,3.0,493.43,580.39
900012,CR1,2025-09-01,2025-09-01,1010,1019,C,repair,3.1,511.81,469.12
900013,CR1,2025-09-01,2025-09-01,1011,1018,C,recall,3.1,516.93,362.75
900014,CR1,2025-09-01,2025-09-01,1009,1015,W,maintenance,1.2,160.54,115.49
900015,CR1,2025-09-01,2025-09-01,1009,1017,I,internal_recon,2.8,275.05,250.77
900016,CR1,2025-09-01,2025-09-01,1009,1013,C,maintenance,1.3,213.12,274.57
900017,CR1,2025-09-01,2025-09-01,1010,1014,W,repair,1.9,252.06,212.14
900018,CR1,2025-09-01,2025-09-03,1012,1013,C,repair,1.0,167.76,112.86
900019,CR1,2025-09-01,2025-09-01,1009,1018,C,maintenance,1.2,210.21,236.82
900020,CR1,2025-09-01,2025-09-01,1011,1018,C,recall,2.1,362.55,300.68
900021,CR1,2025-09-01,2025-09-02,1012,1016,I,internal_recon,2.4,231.34,298.32
900022,CR1,2025-09-01,2025-09-01,1012,1014,C,repair,2.3,389.61,262.72
900023,CR1,2025-09-01,2025-09-01,1011,1019,C,internal_recon,1.5,241.59,0.00
900024,CR1,2025-09-01,2025-09-02,1012,1018,W,repair,0.3,42.45,0.00
900025,CR1,2025-09-01,2025-09-01,1010,1015,C,maintenance,1.7,291.90,292.77
900026,CR1,2025-09-01,2025-09-01,1011,1016,C,internal_recon,0.3,50.19,41.90
900027,CR1,2025-09-01,2025-09-01,1012,1016,C,maintenance,0.3,48.66,47.16
900028,CR1,2025-09-01,2025-09-01,1010,1015,C,recall,0.3,51.41,40.61
900029,CR2,2025-09-01,2025-09-02,1029,1035,C,repair,2.2,362.52,460.50
900030,CR2,2025-09-01,2025-09-01,1029,1035,C,repair,1.2,210.11,0.00
900031,CR2,2025-09-01,2025-09-01,1028,1033,C,maintenance,1.4,228.36,219.39
900032,CR2,2025-09-01,2025-09-02,1029,1032,W,internal_recon,1.8,250.28,311.79
900033,CR2,2025-09-01,2025-09-02,1028,1031,C,maintenance,1.7,286.78,309.40
900034,CR2,2025-09-01,2025-09-02,1028,1031,I,repair,2.4,234.33,200.13
900035,CR2,2025-09-01,2025-09-01,1029,1033,I,internal_recon,3.2,291.61,272.02
900036,CR2,2025-09-01,2025-09-01,1029,1034,C,maintenance,1.7,276.30,209.63
900037,CR2,2025-09-01,2025-09-01,1028,1032,C,maintenance,1.5,263.34,327.95
900038,CR2,2025-09-01,2025-09-01,1028,1032,I,internal_recon,0.8,74.60,83.69
900039,CR2,2025-09-01,2025-09-01,1030,1031,I,internal_recon,2.0,176.54,137.14
900040,CR2,2025-09-01,2025-09-02,1030,1033,W,maintenance,1.0,139.82,0.00
900041,CR2,2025-09-01,2025-09-01,1028,1031,I,repair,2.2,209.55,128.28
900042,CR2,2025-09-01,2025-09-03,1028,1035,W,internal_recon,0.9,122.68,145.56
900043,CR2,2025-09-01,2025-09-06,1030,1033,W,internal_recon,1.2,164.62,134.51
900044,CR2,2025-09-01,2025-09-01,1029,1035,I,repair,1.4,126.56,138.61
