store_code,report_date,unit_count,deal_count,new_units,used_units,front_gross,fi_gross,total_gross,doc_fee
CR1,2025-09-01,6,6,3,3,16544.20,7427.28,"23,971.48",4694.00
CR1,2025-09-02,6,6,5,1,8859.70,8306.30,"17,166.00",4794.00
CR1,2025-09-03,6,6,2,4,12737.33,10492.13,"23,229.46",4494.00
CR1,2025-09-04,8,8,4,4,12047.82,7636.45,"19,684.27",6192.00
CR1,2025-09-05,7,7,7,0,4491.00,7757.20,"12,248.20",5193.00
CR1,2025-09-06,7,7,3,4,14557.85,12702.05,"27,259.90",5793.00
CR1,2025-09-07,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-09-08,7,7,5,2,12208.87,9453.24,"21,662.11",5293.00
CR1,2025-09-09,6,6,3,3,9132.24,10144.37,"19,276.61",4594.00
CR1,2025-09-10,7,7,5,2,11580.03,10276.29,"21,856.32",5493.00
CR1,2025-09-11,7,7,2,5,17282.24,10633.98,"27,916.22",5093.00
CR1,2025-09-12,10,10,4,6,18617.66,15830.07,"34,447.73",8090.00
CR1,2025-09-13,7,7,5,2,13923.85,9311.89,"23,235.74",5493.00
CR1,2025-09-14,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-09-15,7,7,4,3,14998.05,7997.89,"22,995.94",5593.00
CR1,2025-09-16,7,7,5,2,18647.19,9102.49,"27,749.68",5093.00
CR1,2025-09-17,6,6,3,3,10819.39,9996.87,"20,816.26",4794.00
CR1,2025-09-18,6,6,2,4,13243.92,9644.08,"22,888.00",4594.00
CR1,2025-09-19,6,6,2,4,11668.73,5491.88,"17,160.61",4694.00
CR1,2025-09-20,5,5,4,1,11989.03,3240.18,"15,229.21",3595.00
CR1,2025-09-21,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-09-22,6,6,5,1,11422.81,6432.44,"17,855.25",4594.00
CR1,2025-09-23,6,6,2,4,13028.70,9054.62,"22,083.32",4694.00
CR1,2025-09-24,6,6,4,2,13871.00,9605.24,"23,476.24",4794.00
CR1,2025-09-25,6,6,4,2,12130.62,10199.95,"22,330.57",4694.00
CR1,2025-09-26,5,5,3,2,11482.98,6387.79,"17,870.77",3795.00
CR1,2025-09-27,8,8,6,2,25789.25,11157.59,"36,946.84",6292.00
CR1,2025-09-28,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-09-29,7,7,3,4,16080.86,15044.41,"31,125.27",5393.00
CR1,2025-09-30,6,6,3,3,13347.24,7626.97,"20,974.21",4794.00
CR1,2025-10-01,8,8,5,3,13347.07,12745.15,"26,092.22",6292.00
CR1,2025-10-02,9,9,5,4,20714.43,12170.41,"32,884.84",7491.00
CR1,2025-10-03,6,6,3,3,9016.69,8249.52,"17,266.21",4594.00
CR1,2025-10-04,7,7,5,2,16459.48,7457.19,"23,916.67",5293.00
CR1,2025-10-05,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-10-06,4,4,3,1,6100.86,3616.44,"9,717.30",2996.00
CR1,2025-10-07,5,5,5,0,6973.01,7073.44,"14,046.45",3895.00
CR1,2025-10-08,3,3,2,1,5009.36,1266.40,"6,275.76",2397.00
CR1,2025-10-09,7,7,3,4,20222.56,9732.73,"29,955.29",5593.00
CR1,2025-10-10,6,6,4,2,16397.94,8974.49,"25,372.43",4494.00
CR1,2025-10-11,7,7,5,2,12897.19,12863.28,"25,760.47",5093.00
CR1,2025-10-12,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-10-13,6,6,4,2,15516.13,10542.91,"26,059.04",4494.00
CR1,2025-10-14,3,3,1,2,6687.98,3266.78,"9,954.76",2697.00
CR1,2025-10-15,3,3,1,2,6597.23,2112.78,"8,710.01",2197.00
CR1,2025-10-16,9,9,5,4,14648.94,11178.90,"25,827.84",6591.00
CR1,2025-10-17,8,8,5,3,18820.21,11653.33,"30,473.54",6192.00
CR1,2025-10-18,9,9,5,4,17821.37,11351.37,"29,172.74",7391.00
CR1,2025-10-19,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-10-20,4,4,1,3,11505.79,4661.26,"16,167.05",3196.00
CR1,2025-10-21,6,6,2,4,11766.27,7350.64,"19,116.91",4494.00
CR1,2025-10-22,7,7,3,4,20103.29,10898.79,"31,002.08",5493.00
CR1,2025-10-23,6,6,5,1,10894.60,5152.41,"16,047.01",4394.00
CR1,2025-10-24,7,7,5,2,12548.58,7858.02,"20,406.60",5593.00
CR1,2025-10-25,9,9,5,4,23324.25,15285.87,"38,610.12",6791.00
CR1,2025-10-26,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-10-27,6,6,4,2,9969.16,5221.86,"15,191.02",4794.00
CR1,2025-10-28,6,6,4,2,13401.96,12253.91,"25,655.87",4794.00
CR1,2025-10-29,4,4,3,1,6444.63,8586.87,"15,031.50",3096.00
CR1,2025-10-30,8,8,4,4,21104.81,11621.04,"32,725.85",6292.00
CR1,2025-10-31,5,5,3,2,9934.93,5533.49,"15,468.42",4295.00
CR1,2025-11-01,12,12,7,5,24801.72,12993.53,"37,795.25",8788.00
CR1,2025-11-02,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-11-03,7,7,5,2,11680.14,12686.67,"24,366.81",5593.00
CR1,2025-11-04,5,5,3,2,8043.62,8696.43,"16,740.05",3995.00
CR1,2025-11-05,4,4,3,1,6260.23,2844.89,"9,105.12",3196.00
CR1,2025-11-06,7,7,6,1,12238.05,9900.86,"22,138.91",5293.00
CR1,2025-11-07,9,9,6,3,15115.55,11911.59,"27,027.14",7091.00
CR1,2025-11-08,10,10,4,6,23407.83,11792.95,"35,200.78",8090.00
CR1,2025-11-09,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-11-10,7,7,4,3,15171.44,7837.45,"23,008.89",5093.00
CR1,2025-11-11,6,6,4,2,13984.82,7864.44,"21,849.26",4394.00
CR1,2025-11-12,5,5,3,2,13630.65,5700.07,"19,330.72",3695.00
CR1,2025-11-13,3,3,0,3,6014.96,7639.78,"13,654.74",2697.00
CR1,2025-11-14,6,6,3,3,11890.36,9945.78,"21,836.14",4394.00
CR1,2025-11-15,12,12,7,5,31053.71,16132.23,"47,185.94",9488.00
CR1,2025-11-16,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-11-17,5,5,3,2,12672.38,8841.28,"21,513.66",3695.00
CR1,2025-11-18,9,9,4,5,17806.53,17286.85,"35,093.38",6991.00
CR1,2025-11-19,6,6,2,4,15221.58,9295.50,"24,517.08",4794.00
CR1,2025-11-20,7,7,3,4,12071.20,8906.35,"20,977.55",5293.00
CR1,2025-11-21,6,6,2,4,12720.74,7066.74,"19,787.48",4894.00
CR1,2025-11-22,8,8,5,3,17069.61,12807.19,"29,876.80",5692.00
CR1,2025-11-23,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-11-24,8,8,4,4,15247.30,10975.77,"26,223.07",5892.00
CR1,2025-11-25,5,5,3,2,8963.16,5305.20,"14,268.36",3995.00
CR1,2025-11-26,6,6,2,4,14874.78,8547.27,"23,422.05",4594.00
CR1,2025-11-27,9,9,7,2,15001.72,12196.59,"27,198.31",6991.00
CR1,2025-11-28,6,6,3,3,7516.44,5368.32,"12,884.76",4694.00
CR1,2025-11-29,10,10,9,1,23037.71,17763.36,"40,801.07",7390.00
CR1,2025-11-30,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-12-01,7,7,4,3,12957.06,7075.30,"20,032.36",5693.00
CR1,2025-12-02,7,7,6,1,14504.04,11349.82,"25,853.86",5493.00
CR1,2025-12-03,5,5,2,3,9510.66,5292.29,"14,802.95",3795.00
CR1,2025-12-04,6,6,3,3,17247.84,9109.62,"26,357.46",4594.00
CR1,2025-12-05,8,8,6,2,15297.96,12380.04,"27,678.00",5992.00
CR1,2025-12-06,11,11,6,5,24673.82,11164.68,"35,838.50",8489.00
CR1,2025-12-07,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-12-08,10,10,10,0,22008.63,19891.43,"41,900.06",7790.00
CR1,2025-12-09,11,11,7,4,19150.95,11685.49,"30,836.44",8689.00
CR1,2025-12-10,7,7,4,3,11523.41,11178.61,"22,702.02",5193.00
CR1,2025-12-11,5,5,2,3,8365.90,7699.96,"16,065.86",3895.00
CR1,2025-12-12,10,10,2,8,20173.14,15748.23,"35,921.37",7490.00
CR1,2025-12-13,13,13,7,6,27128.66,21738.18,"48,866.84",10487.00
CR1,2025-12-14,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-12-15,8,8,2,6,18868.24,14332.62,"33,200.86",6192.00
CR1,2025-12-16,8,8,5,3,19405.50,11157.52,"30,563.02",6192.00
CR1,2025-12-17,8,8,4,4,13359.79,5795.75,"19,155.54",6492.00
CR1,2025-12-18,4,4,2,2,10463.06,4331.40,"14,794.46",3296.00
CR1,2025-12-19,10,10,8,2,20093.87,10755.03,"30,848.90",7590.00
CR1,2025-12-20,12,12,5,7,35582.82,15862.54,"51,445.36",9288.00
CR1,2025-12-21,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-12-22,7,7,3,4,13497.29,9559.28,"23,056.57",5493.00
CR1,2025-12-23,8,8,6,2,17929.76,9693.78,"27,623.54",6192.00
CR1,2025-12-24,4,4,3,1,8481.73,7198.26,"15,679.99",2996.00
CR1,2025-12-25,9,9,5,4,17775.86,8874.78,"26,650.64",6891.00
CR1,2025-12-26,6,6,6,0,8488.40,10065.43,"18,553.83",4594.00
CR1,2025-12-27,14,14,5,9,27333.46,26505.33,"53,838.79",10686.00
CR1,2025-12-28,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2025-12-29,7,7,4,3,18471.53,9365.35,"27,836.88",4993.00
CR1,2025-12-30,5,5,4,1,11262.95,4377.33,"15,640.28",3795.00
CR1,2025-12-31,6,6,5,1,6905.31,5342.16,"12,247.47",4894.00
CR1,2026-01-01,6,6,3,3,10174.68,6709.27,"16,883.95",4894.00
CR1,2026-01-02,7,7,4,3,14200.52,12417.54,"26,618.06",5093.00
CR1,2026-01-03,10,10,4,6,18379.56,15095.78,"33,475.34",7590.00
CR1,2026-01-04,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-01-05,5,5,5,0,6501.07,4971.72,"11,472.79",3995.00
CR1,2026-01-06,9,9,5,4,19074.13,8930.75,"28,004.88",7291.00
CR1,2026-01-07,4,4,2,2,13047.20,7431.03,"20,478.23",2996.00
CR1,2026-01-08,8,8,4,4,22252.58,8427.31,"30,679.89",6192.00
CR1,2026-01-09,8,8,5,3,17579.20,8931.68,"26,510.88",6192.00
CR1,2026-01-10,9,9,3,6,21164.89,12168.33,"33,333.22",6791.00
CR1,2026-01-11,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-01-12,6,6,3,3,10073.34,12711.37,"22,784.71",4794.00
CR1,2026-01-13,6,6,2,4,17027.31,8793.56,"25,820.87",4794.00
CR1,2026-01-14,5,5,3,2,10406.05,5606.64,"16,012.69",4195.00
CR1,2026-01-15,8,8,6,2,16150.67,7890.41,"24,041.08",6092.00
CR1,2026-01-16,8,8,4,4,18318.08,8943.52,"27,261.60",6292.00
CR1,2026-01-17,6,6,3,3,10586.40,7019.81,"17,606.21",5094.00
CR1,2026-01-18,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-01-19,5,5,2,3,13519.00,5151.30,"18,670.30",4095.00
CR1,2026-01-20,5,5,3,2,9533.90,7383.85,"16,917.75",3695.00
CR1,2026-01-21,5,5,5,0,7137.74,7470.31,"14,608.05",3695.00
CR1,2026-01-22,7,7,5,2,14052.66,13364.55,"27,417.21",5493.00
CR1,2026-01-23,9,9,5,4,21445.17,14749.60,"36,194.77",6791.00
CR1,2026-01-24,10,10,5,5,21011.76,13602.53,"34,614.29",7590.00
CR1,2026-01-25,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-01-26,5,5,4,1,7924.91,9548.08,"17,472.99",3595.00
CR1,2026-01-27,10,10,8,2,20059.17,13723.19,"33,782.36",7690.00
CR1,2026-01-28,4,4,1,3,14432.84,5295.90,"19,728.74",3196.00
CR1,2026-01-29,1,1,1,0,2510.56,2486.92,"4,997.48",699.00
CR1,2026-01-30,3,3,1,2,5752.39,4987.01,"10,739.40",2197.00
CR1,2026-01-31,10,10,5,5,23986.31,12371.29,"36,357.60",7690.00
CR1,2026-02-01,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-02-02,3,3,2,1,6840.88,3892.87,"10,733.75",2097.00
CR1,2026-02-03,8,8,4,4,14706.98,11313.87,"26,020.85",5792.00
CR1,2026-02-04,3,3,3,0,1773.22,4670.42,"6,443.64",2397.00
CR1,2026-02-05,2,2,2,0,2543.65,729.47,"3,273.12",1698.00
CR1,2026-02-06,5,5,4,1,5343.73,2970.89,"8,314.62",3895.00
CR1,2026-02-07,9,9,5,4,20299.53,9209.01,"29,508.54",6591.00
CR1,2026-02-08,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-02-09,7,7,4,3,16741.09,12118.42,"28,859.51",5393.00
CR1,2026-02-10,4,4,2,2,8664.11,3191.24,"11,855.35",3296.00
CR1,2026-02-11,7,7,5,2,14481.64,9284.99,"23,766.63",5693.00
CR1,2026-02-12,2,2,1,1,2264.03,3489.18,"5,753.21",1598.00
CR1,2026-02-13,6,6,5,1,12636.59,9619.98,"22,256.57",4394.00
CR1,2026-02-14,6,6,3,3,13571.60,7055.14,"20,626.74",4794.00
CR1,2026-02-15,0,0,0,0,0.00,0.00,0.00,0.00
CR1,2026-02-16,6,6,5,1,5702.68,12388.42,"18,091.10",4994.00
CR1,2026-02-17,7,7,5,2,9154.67,6711.11,"15,865.78",5393.00
